doc_id,asset_tag,source,field,language,extraction_date,preprocessing_version
DOC-00032,MIT-163-B,manual,descricao,pt,2026-05-05,1.1
DOC-00001,MOT-617-A,placa,especificacao_tecnica,pt,2026-05-05,1.1
DOC-00043,MIT-777-C,manual,descricao,pt,2026-05-05,1.1
DOC-00069,MOT-607-A,ficha_cadastro,descricao,mixed,2026-05-05,1.1
DOC-00089,MIT-333-D,log_operacional,log_operacao,pt,2026-05-05,1.1
DOC-00044,MIT-208-D,manual,descricao,pt,2026-05-05,1.1
DOC-00019,MIT-357-A,placa,especificacao_tecnica,mixed,2026-05-05,1.1
DOC-00052,MIT-383-C,manual,descricao,pt,2026-05-05,1.1
DOC-00063,M-565-A,ficha_cadastro,descricao,pt,2026-05-05,1.1
DOC-00047,MIT-317-C,manual,descricao,mixed,2026-05-05,1.1
DOC-00016,M-734-A,placa,especificacao_tecnica,pt,2026-05-05,1.1
DOC-00079,MIT-477-C,ficha_cadastro,descricao,pt,2026-05-05,1.1
DOC-00028,MOT-771-A,placa,especificacao_tecnica,pt,2026-05-05,1.1
DOC-00024,MIT-690-B,placa,especificacao_tecnica,en,2026-05-05,1.1
DOC-00026,MIT-904-C,placa,especificacao_tecnica,mixed,2026-05-05,1.1
DOC-00018,M-783-C,placa,especificacao_tecnica,mixed,2026-05-05,1.1
DOC-00002,EM-204-A,placa,especificacao_tecnica,pt,2026-05-05,1.1
DOC-00011,M-626-B,placa,especificacao_tecnica,mixed,2026-05-05,1.1
DOC-00014,M-268-D,placa,especificacao_tecnica,mixed,2026-05-05,1.1
DOC-00045,MIT-576-D,manual,descricao,pt,2026-05-05,1.1
DOC-00068,MIT-429-B,ficha_cadastro,descricao,mixed,2026-05-05,1.1
DOC-00054,M-993-A,manual,descricao,pt,2026-05-05,1.1
DOC-00034,EM-546-D,manual,descricao,pt,2026-05-05,1.1
DOC-00035,MOT-737-A,manual,descricao,pt,2026-05-05,1.1
DOC-00087,EM-569-A,log_operacional,log_operacao,pt,2026-05-05,1.1
DOC-00027,MOT-925-B,placa,especificacao_tecnica,mixed,2026-05-05,1.1
DOC-00017,MIT-736-A,placa,especificacao_tecnica,mixed,2026-05-05,1.1
DOC-00053,EM-114-B,manual,descricao,mixed,2026-05-05,1.1
DOC-00015,EM-158-A,placa,especificacao_tecnica,en,2026-05-05,1.1
DOC-00096,EM-146-B,log_operacional,log_operacao,pt,2026-05-05,1.1
DOC-00066,MIT-954-D,ficha_cadastro,descricao,mixed,2026-05-05,1.1
DOC-00049,M-195-C,manual,descricao,pt,2026-05-05,1.1
DOC-00012,EM-533-D,placa,especificacao_tecnica,mixed,2026-05-05,1.1
DOC-00086,MOT-859-D,log_operacional,log_operacao,pt,2026-05-05,1.1
DOC-00059,EM-906-B,ficha_cadastro,descricao,mixed,2026-05-05,1.1
DOC-00022,M-979-D,placa,especificacao_tecnica,mixed,2026-05-05,1.1
DOC-00007,M-798-C,placa,especificacao_tecnica,en,2026-05-05,1.1
DOC-00050,EM-535-C,manual,descricao,pt,2026-05-05,1.1
DOC-00004,M-723-B,placa,especificacao_tecnica,mixed,2026-05-05,1.1
DOC-00071,M-340-C,ficha_cadastro,descricao,mixed,2026-05-05,1.1
DOC-00078,M-579-A,ficha_cadastro,descricao,mixed,2026-05-05,1.1
DOC-00031,MIT-810-B,manual,descricao,pt,2026-05-05,1.1
DOC-00077,MOT-192-C,ficha_cadastro,descricao,mixed,2026-05-05,1.1
DOC-00021,M-462-D,placa,especificacao_tecnica,pt,2026-05-05,1.1
DOC-00013,EM-573-B,placa,especificacao_tecnica,pt,2026-05-05,1.1
DOC-00062,MIT-193-D,ficha_cadastro,descricao,mixed,2026-05-05,1.1
DOC-00094,MIT-449-B,log_operacional,log_operacao,pt,2026-05-05,1.1
DOC-00029,MIT-727-D,placa,especificacao_tecnica,mixed,2026-05-05,1.1
DOC-00003,M-146-B,placa,especificacao_tecnica,pt,2026-05-05,1.1
DOC-00072,EM-467-C,ficha_cadastro,descricao,mixed,2026-05-05,1.1
DOC-00051,M-838-B,manual,descricao,pt,2026-05-05,1.1
DOC-00091,EM-714-C,log_operacional,log_operacao,pt,2026-05-05,1.1
DOC-00038,M-867-A,manual,descricao,pt,2026-05-05,1.1
